Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/12/2023;1111,8192;1078,6407;1055,1306;1036,4366;1036,4366;1050,4475;1059,82;1050,4475;1022,4833;1022,4833;1064,5157;1031,779;980,9714;926,4472;864,053;781,5347;714,0405;664,6586;648,4396;592,6489;508,1497;438,4546;431,3028;474,7457;542,2377;576,9926;542,2377;496,9382;442,0439;385,7042;348,3592
01/11/2023;2963,0007;2854,455;2905,3813;3229,8032;3389,197;3415,9895;3395,8894;3349,1296;3295,9326;3236,3977;3164,0842;3072,774;2969,4243;2879,8838;2816,4407;2778,5825;2665,9517;2518,0107;2330,7864;2113,2026;1874,2686;1638,9297;1459,8252;1262,3691;1059,82;944,5162;886,1841;921,9467;1055,1306;1121,3549;
01/10/2023;399,5686;485,8033;652,4828;868,4655;1140,5005;1496,1807;1840,8562;2124,7966;2408,7622;2747,1538;3020,9644;3183,7566;3302,5679;3362,469;3309,2073;3170,6377;3262,8167;3429,4102;3517,0322;3584,8904;3578,0867;3523,7998;3429,4102;3315,8508;3190,3225;3046,8354;2899,0005;2810,1204;2963,0007;3079,269;3046,8354
01/09/2023;331,7726;328,485;341,6949;365,1903;442,0439;478,423;493,218;500,6669;496,9382;471,0772;434,8742;396,0885;368,5854;371,9902;365,1903;331,7726;305,7545;286,672;274,1609;271,0598;264,8901;261,8215;264,8901;277,2726;289,8263;325,2075;348,3592;365,1903;375,4044;382,2615;
01/08/2023;474,7457;442,0439;410,0643;368,5854;325,2075;302,5481;292,9911;271,0598;267,9695;308,9712;403,0579;714,0405;949,05;994,7504;1003,9688;1003,9688;990,1509;958,1375;908,4852;846,4716;768,7384;693,3336;620,3529;549,9039;485,8033;438,4546;406,5565;382,2615;368,5854;358,4288;348,3592
01/07/2023;312,1981;296,1664;289,8263;280,3951;271,0598;264,8901;258,7639;249,6572;246,6438;252,6817;321,9399;855,2485;1208,2823;1287,1918;1307,1555;1307,1555;1287,1918;1257,4224;1222,9617;1174,2423;1107,0605;1022,4833;930,9545;846,4716;781,5347;726,5535;672,8137;624,342;573,0984;530,8001;508,1497
01/06/2023;220,0334;214,2472;208,5083;205,6567;199,9897;193,5847;190,4052;187,2379;184,0829;180,9403;174,693;220,0334;371,9902;561,4647;760,2433;872,885;917,4528;930,9545;917,4528;864,053;790,1013;709,8842;644,4041;580,8946;511,9039;452,8653;410,0643;382,2615;351,706;328,485;
01/05/2023;523,2166;478,423;460,1237;442,0439;460,1237;478,423;460,1237;431,3028;417,1074;420,6427;420,6427;406,5565;392,6177;371,9902;358,4288;341,6949;321,9399;305,7545;286,672;271,0598;252,6817;240,6506;228,8003;220,0334;208,5083;199,9897;196,7763;205,6567;214,2472;220,0334;220,0334
01/04/2023;420,6427;424,187;424,187;403,0579;389,1563;389,1563;424,187;449,2493;460,1237;474,7457;463,7661;445,6422;424,187;406,5565;392,6177;406,5565;489,5064;768,7384;877,3112;899,5445;921,9467;921,9467;899,5445;872,885;829,0009;764,4874;697,4601;644,4041;592,6489;549,9039;
01/03/2023;815,971;807,3195;790,1013;777,2621;790,1013;790,1013;807,3195;824,6506;855,2485;917,4528;953,5905;971,8182;976,3915;971,8182;962,6912;962,6912;935,4684;899,5445;859,6473;790,1013;726,5535;705,7354;714,0405;656,5338;573,0984;534,6044;500,6669;460,1237;427,7404;427,7404;420,6427
01/02/2023;628,3389;608,4325;616,3716;656,5338;709,8842;743,3402;756,0067;756,0067;743,3402;709,8842;664,6586;616,3716;553,7493;500,6669;474,7457;482,1088;496,9382;530,8001;576,9926;628,3389;672,8137;660,5924;664,6586;777,2621;803,0043;798,6962;815,971;815,971;;;
01/01/2023;709,8842;714,0405;660,5924;624,342;680,9991;689,2146;709,8842;730,7392;726,5535;701,594;664,6586;632,3436;620,3529;628,3389;632,3436;652,4828;664,6586;705,7354;764,4874;868,4655;939,989;949,05;971,8182;985,558;985,558;953,5905;908,4852;846,4716;777,2621;726,5535;685,1031
01/12/2022;413,5813;493,218;546,0667;588,7228;680,9991;722,3751;743,3402;777,2621;803,0043;829,0009;859,6473;886,1841;949,05;994,7504;994,7504;994,7504;994,7504;985,558;971,8182;953,5905;917,4528;855,2485;768,7384;680,9991;604,4747;553,7493;612,3981;628,3389;644,4041;676,9026;693,3336
01/11/2022;967,2514;935,4684;908,4852;886,1841;859,6473;833,3581;807,3195;764,4874;718,2041;648,4396;569,2125;493,218;452,8653;463,7661;452,8653;442,0439;427,7404;413,5813;385,7042;355,0625;328,485;315,4352;308,9712;296,1664;283,5283;271,0598;258,7639;249,6572;258,7639;318,6825;
01/10/2022;846,4716;842,0934;837,7223;803,0043;764,4874;760,2433;872,885;829,0009;764,4874;718,2041;777,2621;1003,9688;1078,6407;1078,6407;1102,3083;1116,5837;1150,1104;1164,5713;1164,5713;1208,2823;1277,2449;1292,1738;1272,2805;1252,4816;1227,8666;1198,5264;1164,5713;1111,8192;1050,4475;1008,5878;1003,9688
01/09/2022;431,3028;396,0885;406,5565;396,0885;375,4044;371,9902;434,8742;538,4169;616,3716;685,1031;714,0405;751,7773;935,4684;1017,845;1022,4833;1031,779;1036,4366;1041,1005;1041,1005;1041,1005;1022,4833;994,7504;935,4684;850,8566;772,9967;794,3952;829,0009;829,0009;846,4716;855,2485;
01/08/2022;159,3006;159,3006;153,2367;153,2367;150,2253;147,2278;177,8103;292,9911;396,0885;508,1497;781,5347;881,7443;912,9656;926,4472;935,4684;949,05;971,8182;1107,0605;1277,2449;1262,3691;1213,1696;1145,3022;1092,8225;1050,4475;1003,9688;939,989;864,053;777,2621;689,2146;584,8047;496,9382
01/07/2022;403,0579;358,4288;331,7726;312,1981;292,9911;280,3951;267,9695;258,7639;246,6438;240,6506;231,7457;234,7026;240,6506;240,6506;234,7026;228,8003;228,8003;225,8664;225,8664;222,9441;222,9441;222,9441;220,0334;217,1344;208,5083;196,7763;187,2379;177,8103;174,693;168,4968;162,3527
